user_id,recency,frequency,monetary,R,F,M,RFM_Score,Segment
45030,77,7,22111.11111,2,1,1,211,"Low Spenders, Less Active"
45039,136,11,9000,1,2,1,121,"Low Spenders, Less Active"
45098,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
45129,81,5,1125,2,1,1,211,"Low Spenders, Less Active"
45214,28,2,24875,3,1,1,311,"Low Spenders, Less Active"
45215,13,9,35235.29412,4,2,1,421,"Low Spenders, Less Active"
45234,10,5,31526.31579,4,1,1,411,"Low Spenders, Less Active"
45239,2,11,500,4,2,1,421,"Low Spenders, Less Active"
45246,133,28,199000,1,3,3,133,Churn User
45250,22,4,35235.29412,3,1,1,311,"Low Spenders, Less Active"
45329,133,8,208000,1,1,3,113,"High Spenders, Less Active"
45471,20,8,38000,3,1,1,311,"Low Spenders, Less Active"
45472,82,3,24875,2,1,1,211,"Low Spenders, Less Active"
45474,81,6,74875,2,1,2,212,"Low Spenders, Less Active"
45475,1,15,30400,4,2,1,421,"Low Spenders, Less Active"
45476,33,4,13266.66667,3,1,1,311,"Low Spenders, Less Active"
45477,124,25,4500,1,3,1,131,Churn User
45480,1,3,9950,4,1,1,411,"Low Spenders, Less Active"
45481,100,6,5400,1,1,1,111,Lost Cheap User
45492,113,3,55666.66667,1,1,1,111,Lost Cheap User
45500,10,22,22111.11111,4,2,1,421,"Low Spenders, Less Active"
45504,4,4,37437.5,4,1,1,411,"Low Spenders, Less Active"
45510,72,4,115000,2,1,2,212,"Low Spenders, Less Active"
45553,9,10,10473.68421,4,2,1,421,"Low Spenders, Less Active"
45580,50,1,11461.53846,3,1,1,311,"Low Spenders, Less Active"
45593,1,4,17850,4,1,1,411,"Low Spenders, Less Active"
45628,9,6,31526.31579,4,1,1,411,"Low Spenders, Less Active"
45639,2,5,33277.77778,4,1,1,411,"Low Spenders, Less Active"
45647,1,1,2250,4,1,1,411,"Low Spenders, Less Active"
45663,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
45692,121,5,9000,1,1,1,111,Lost Cheap User
45705,108,6,149750,1,1,2,112,Lost Cheap User
45716,4,21,33277.77778,4,2,1,421,"Low Spenders, Less Active"
45718,2,12,7950,4,2,1,421,"Low Spenders, Less Active"
45728,18,7,35235.29412,4,1,1,411,"Low Spenders, Less Active"
45735,31,3,149000,3,1,2,312,"Low Spenders, Less Active"
45754,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
45785,122,1,9000,1,1,1,111,Lost Cheap User
45795,111,6,199000,1,1,3,113,"High Spenders, Less Active"
45803,84,4,9000,2,1,1,211,"Low Spenders, Less Active"
45836,1,16,9950,4,2,1,421,"Low Spenders, Less Active"
45850,1,9,29950,4,2,1,421,"Low Spenders, Less Active"
45857,76,6,55444.44444,2,1,1,211,"Low Spenders, Less Active"
45869,5,28,28428.57143,4,3,1,431,"Low Spenders, Most Active"
45907,31,4,13266.66667,3,1,1,311,"Low Spenders, Less Active"
45946,45,5,70769.23077,3,1,1,311,"Low Spenders, Less Active"
45960,126,5,13500,1,1,1,111,Lost Cheap User
45962,88,1,99500,2,1,2,212,"Low Spenders, Less Active"
45972,7,11,20947.36842,4,2,1,421,"Low Spenders, Less Active"
45981,0,0,18000,4,1,1,411,"Low Spenders, Less Active"
45987,74,2,22111.11111,2,1,1,211,"Low Spenders, Less Active"
45988,98,4,69600,1,1,1,111,Lost Cheap User
45991,11,10,44333.33333,4,2,1,421,"Low Spenders, Less Active"
45997,126,14,199000,1,2,3,123,"High Spenders, Less Active"
46009,53,3,16583.33333,2,1,1,211,"Low Spenders, Less Active"
46012,81,13,24875,2,2,1,221,"Low Spenders, Less Active"
46018,4,11,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46019,53,1,49916.66667,2,1,1,211,"Low Spenders, Less Active"
46023,4,14,10473.68421,4,2,1,421,"Low Spenders, Less Active"
46029,64,16,18909.09091,2,2,1,221,"Low Spenders, Less Active"
46034,7,28,23333.33333,4,3,1,431,"Low Spenders, Most Active"
46040,3,21,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46047,109,2,149750,1,1,2,112,Lost Cheap User
46052,105,19,41600,1,2,1,121,"Low Spenders, Less Active"
46055,8,11,14055.55556,4,2,1,421,"Low Spenders, Less Active"
46069,15,0,22111.11111,4,1,1,411,"Low Spenders, Less Active"
46075,3,3,11894.73684,4,1,1,411,"Low Spenders, Less Active"
46088,99,2,39800,1,1,1,111,Lost Cheap User
46089,60,3,54454.54545,2,1,1,211,"Low Spenders, Less Active"
46090,0,0,199000,4,1,3,413,"High Spenders, Less Active"
46098,30,1,600,3,1,1,311,"Low Spenders, Less Active"
46099,2,34,20947.36842,4,3,1,431,"Low Spenders, Most Active"
46108,109,12,101750,1,2,2,122,"Low Spenders, Less Active"
46112,30,5,39933.33333,3,1,1,311,"Low Spenders, Less Active"
46118,6,1,22105.26316,4,1,1,411,"Low Spenders, Less Active"
46127,0,0,920000,4,1,4,414,Big Spenders
46128,79,1,24875,2,1,1,211,"Low Spenders, Less Active"
46134,135,6,9000,1,1,1,111,Lost Cheap User
46135,1,8,60350,4,1,1,411,"Low Spenders, Less Active"
46136,5,8,31526.31579,4,1,1,411,"Low Spenders, Less Active"
46149,1,6,10473.68421,4,1,1,411,"Low Spenders, Less Active"
46156,7,11,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46160,130,40,9000,1,3,1,131,Churn User
46161,42,6,14214.28571,3,1,1,311,"Low Spenders, Less Active"
46162,125,27,276000,1,3,3,133,Churn User
46163,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
46170,1,8,16350,4,1,1,411,"Low Spenders, Less Active"
46171,91,0,1500,1,1,1,111,Lost Cheap User
46180,1,19,19900,4,2,1,421,"Low Spenders, Less Active"
46184,64,1,14454.54545,2,1,1,211,"Low Spenders, Less Active"
46193,49,7,19900,3,1,1,311,"Low Spenders, Less Active"
46203,38,1,642.8571429,3,1,1,311,"Low Spenders, Less Active"
46205,37,4,30615.38462,3,1,1,311,"Low Spenders, Less Active"
46219,27,9,26533.33333,3,2,1,321,"Low Spenders, Less Active"
46228,129,4,9000,1,1,1,111,Lost Cheap User
46235,78,5,27111.11111,2,1,1,211,"Low Spenders, Less Active"
46246,3,17,31526.31579,4,2,1,421,"Low Spenders, Less Active"
46250,128,59,199000,1,4,3,143,"Low Spenders, Most Active"
46251,70,5,4500,2,1,1,211,"Low Spenders, Less Active"
46259,135,5,9000,1,1,1,111,Lost Cheap User
46284,92,24,66333.33333,1,3,1,131,Churn User
46295,43,11,46076.92308,3,2,1,321,"Low Spenders, Less Active"
46300,6,13,31526.31579,4,2,1,421,"Low Spenders, Less Active"
46305,55,9,18090.90909,2,2,1,221,"Low Spenders, Less Active"
46309,132,15,9000,1,2,1,121,"Low Spenders, Less Active"
46324,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
46326,27,1,562.5,3,1,1,311,"Low Spenders, Less Active"
46345,4,36,31526.31579,4,3,1,431,"Low Spenders, Most Active"
46349,7,9,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46374,135,5,9000,1,1,1,111,Lost Cheap User
46396,134,1,9000,1,1,1,111,Lost Cheap User
46427,3,10,22111.11111,4,2,1,421,"Low Spenders, Less Active"
46435,121,1,199000,1,1,3,113,"High Spenders, Less Active"
46438,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
46458,26,1,28428.57143,3,1,1,311,"Low Spenders, Less Active"
46481,108,3,6750,1,1,1,111,Lost Cheap User
46546,115,1,3000,1,1,1,111,Lost Cheap User
46549,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
46571,129,26,18000,1,3,1,131,Churn User
46575,42,1,1384.615385,3,1,1,311,"Low Spenders, Less Active"
46578,34,1,692.3076923,3,1,1,311,"Low Spenders, Less Active"
46591,129,17,45000,1,2,1,121,"Low Spenders, Less Active"
46596,47,3,9000,3,1,1,311,"Low Spenders, Less Active"
46600,134,1,9000,1,1,1,111,Lost Cheap User
46606,9,1,83200,4,1,2,412,"Low Spenders, Less Active"
46614,130,21,9000,1,2,1,121,"Low Spenders, Less Active"
46625,72,6,22111.11111,2,1,1,211,"Low Spenders, Less Active"
46626,63,11,18090.90909,2,2,1,221,"Low Spenders, Less Active"
46631,64,1,60800,2,1,1,211,"Low Spenders, Less Active"
46639,107,9,39750,1,2,1,121,"Low Spenders, Less Active"
46671,10,5,1000,4,1,1,411,"Low Spenders, Less Active"
46680,16,8,11705.88235,4,1,1,411,"Low Spenders, Less Active"
46693,2,8,20947.36842,4,1,1,411,"Low Spenders, Less Active"
46698,9,9,23411.76471,4,2,1,421,"Low Spenders, Less Active"
46709,5,15,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46710,29,1,9933.333333,3,1,1,311,"Low Spenders, Less Active"
46712,2,11,20947.36842,4,2,1,421,"Low Spenders, Less Active"
46717,103,7,52000,1,1,1,111,Lost Cheap User
46723,134,3,9000,1,1,1,111,Lost Cheap User
46732,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
46733,11,2,46611.11111,4,1,1,411,"Low Spenders, Less Active"
46736,109,18,49750,1,2,1,121,"Low Spenders, Less Active"
46747,67,4,19900,2,1,1,211,"Low Spenders, Less Active"
46754,129,8,199000,1,1,3,113,"High Spenders, Less Active"
46766,1,60,20947.36842,4,4,1,441,"Low Spenders, Most Active"
46770,0,0,599000,4,1,4,414,Big Spenders
46817,5,12,25210.52632,4,2,1,421,"Low Spenders, Less Active"
46824,8,9,23411.76471,4,2,1,421,"Low Spenders, Less Active"
46827,4,23,21894.73684,4,2,1,421,"Low Spenders, Less Active"
46831,2,5,27210.52632,4,1,1,411,"Low Spenders, Less Active"
46833,114,40,66333.33333,1,3,1,131,Churn User
46853,79,6,599000,2,1,4,214,Big Spenders
46856,4,18,10473.68421,4,2,1,421,"Low Spenders, Less Active"
46864,0,0,69000,4,1,1,411,"Low Spenders, Less Active"
46872,4,13,31526.31579,4,2,1,421,"Low Spenders, Less Active"
46887,19,5,13294.11765,3,1,1,311,"Low Spenders, Less Active"
46889,3,2,10473.68421,4,1,1,411,"Low Spenders, Less Active"
46890,40,2,2250,3,1,1,311,"Low Spenders, Less Active"
46899,21,3,26533.33333,3,1,1,311,"Low Spenders, Less Active"
46906,78,8,39750,2,1,1,211,"Low Spenders, Less Active"
46911,42,8,70769.23077,3,1,1,311,"Low Spenders, Less Active"
46926,41,9,16583.33333,3,2,1,321,"Low Spenders, Less Active"
46948,62,5,35545.45455,2,1,1,211,"Low Spenders, Less Active"
46959,4,5,11555.55556,4,1,1,411,"Low Spenders, Less Active"
46961,133,4,199000,1,1,3,113,"High Spenders, Less Active"
47016,2,5,26263.15789,4,1,1,411,"Low Spenders, Less Active"
47033,38,19,12000,3,2,1,321,"Low Spenders, Less Active"
47066,5,23,22111.11111,4,2,1,421,"Low Spenders, Less Active"
47077,24,14,13000,3,2,1,321,"Low Spenders, Less Active"
47091,1,4,7842.105263,4,1,1,411,"Low Spenders, Less Active"
47092,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
47104,1,9,10473.68421,4,2,1,421,"Low Spenders, Less Active"
47128,1,4,10473.68421,4,1,1,411,"Low Spenders, Less Active"
47134,62,2,23111.11111,2,1,1,211,"Low Spenders, Less Active"
47137,7,12,8833.333333,4,2,1,421,"Low Spenders, Less Active"
47165,13,3,11055.55556,4,1,1,411,"Low Spenders, Less Active"
47184,12,18,8833.333333,4,2,1,421,"Low Spenders, Less Active"
47186,121,1,199000,1,1,3,113,"High Spenders, Less Active"
47201,1,4,12437.5,4,1,1,411,"Low Spenders, Less Active"
47240,10,22,23411.76471,4,2,1,421,"Low Spenders, Less Active"
47245,42,9,692.3076923,3,2,1,321,"Low Spenders, Less Active"
47268,115,8,599000,1,1,4,114,"Big Spenders, Less active"
47271,129,13,168000,1,2,2,122,"Low Spenders, Less Active"
47272,0,0,45000,4,1,1,411,"Low Spenders, Less Active"
47287,110,3,398000,1,1,3,113,"High Spenders, Less Active"
47304,132,1,599000,1,1,4,114,"Big Spenders, Less active"
47307,4,5,33277.77778,4,1,1,411,"Low Spenders, Less Active"
47308,26,6,24875,3,1,1,311,"Low Spenders, Less Active"
47327,56,4,14454.54545,2,1,1,211,"Low Spenders, Less Active"
47350,124,8,4500,1,1,1,111,Lost Cheap User
47359,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
47390,71,1,1000,2,1,1,211,"Low Spenders, Less Active"
47440,7,20,33277.77778,4,2,1,421,"Low Spenders, Less Active"
47444,130,23,207000,1,2,3,123,"High Spenders, Less Active"
47450,91,5,119800,1,1,2,112,Lost Cheap User
47461,1,7,32578.94737,4,1,1,411,"Low Spenders, Less Active"
47483,113,3,3000,1,1,1,111,Lost Cheap User
47485,15,2,17529.41176,4,1,1,411,"Low Spenders, Less Active"
47490,105,8,149750,1,1,2,112,Lost Cheap User
47494,12,44,500,4,3,1,431,"Low Spenders, Most Active"
47554,115,9,66333.33333,1,2,1,121,"Low Spenders, Less Active"
47555,2,10,12842.10526,4,2,1,421,"Low Spenders, Less Active"
47557,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
47559,24,17,14466.66667,3,2,1,321,"Low Spenders, Less Active"
47563,15,5,11705.88235,4,1,1,411,"Low Spenders, Less Active"
47584,4,1,33277.77778,4,1,1,411,"Low Spenders, Less Active"
47601,93,11,99833.33333,1,2,2,122,"Low Spenders, Less Active"
47618,85,1,9000,2,1,1,211,"Low Spenders, Less Active"
47662,69,20,23111.11111,2,2,1,221,"Low Spenders, Less Active"
47698,72,16,22111.11111,2,2,1,221,"Low Spenders, Less Active"
47700,48,3,900,3,1,1,311,"Low Spenders, Less Active"
47725,73,18,74875,2,2,2,222,"Low Spenders, Less Active"
47729,128,29,208000,1,3,3,133,Churn User
47731,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
47757,95,5,99833.33333,1,1,2,112,Lost Cheap User
47765,114,7,166333.3333,1,1,2,112,Lost Cheap User
47767,55,5,9000,2,1,1,211,"Low Spenders, Less Active"
47771,109,2,3000,1,1,1,111,Lost Cheap User
47799,36,24,46769.23077,3,3,1,331,"Low Spenders, Most Active"
47802,8,39,46666.66667,4,3,1,431,"Low Spenders, Most Active"
47805,1,27,159000,4,3,2,432,"Low Spenders, Most Active"
47811,33,47,14214.28571,3,3,1,331,"Low Spenders, Most Active"
47833,21,7,37437.5,3,1,1,311,"Low Spenders, Less Active"
47886,112,13,199000,1,2,3,123,"High Spenders, Less Active"
47908,58,8,23111.11111,2,1,1,211,"Low Spenders, Less Active"
47931,6,9,22611.11111,4,2,1,421,"Low Spenders, Less Active"
47952,47,5,18090.90909,3,1,1,311,"Low Spenders, Less Active"
47966,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
47973,2,1,33777.77778,4,1,1,411,"Low Spenders, Less Active"
47977,0,0,23000,4,1,1,411,"Low Spenders, Less Active"
47992,4,9,8833.333333,4,2,1,421,"Low Spenders, Less Active"
48034,110,24,66333.33333,1,3,1,131,Churn User
48077,79,1,85571.42857,2,1,2,212,"Low Spenders, Less Active"
48088,1,36,31526.31579,4,3,1,431,"Low Spenders, Most Active"
48113,5,17,33277.77778,4,2,1,421,"Low Spenders, Less Active"
48151,82,1,1285.714286,2,1,1,211,"Low Spenders, Less Active"
48160,114,1,3000,1,1,1,111,Lost Cheap User
48182,2,8,11894.73684,4,1,1,411,"Low Spenders, Less Active"
48207,1,24,33277.77778,4,3,1,431,"Low Spenders, Most Active"
48217,129,5,18000,1,1,1,111,Lost Cheap User
48222,7,8,11055.55556,4,1,1,411,"Low Spenders, Less Active"
48228,35,2,33166.66667,3,1,1,311,"Low Spenders, Less Active"
48261,2,12,20947.36842,4,2,1,421,"Low Spenders, Less Active"
48311,123,9,199000,1,2,3,123,"High Spenders, Less Active"
48345,129,13,199000,1,2,3,123,"High Spenders, Less Active"
48348,72,6,17666.66667,2,1,1,211,"Low Spenders, Less Active"
48362,1,12,31526.31579,4,2,1,421,"Low Spenders, Less Active"
48373,99,3,39800,1,1,1,111,Lost Cheap User
48378,108,1,7666.666667,1,1,1,111,Lost Cheap User
48407,53,3,818.1818182,2,1,1,211,"Low Spenders, Less Active"
48421,66,2,1000,2,1,1,211,"Low Spenders, Less Active"
48427,84,7,49750,2,1,1,211,"Low Spenders, Less Active"
48428,5,32,22111.11111,4,3,1,431,"Low Spenders, Most Active"
48442,8,6,11055.55556,4,1,1,411,"Low Spenders, Less Active"
48443,122,10,599000,1,2,4,124,Big Spenders
48466,78,3,149000,2,1,2,212,"Low Spenders, Less Active"
48532,5,14,18705.88235,4,2,1,421,"Low Spenders, Less Active"
48564,31,1,14214.28571,3,1,1,311,"Low Spenders, Less Active"
48568,30,10,5400,3,2,1,321,"Low Spenders, Less Active"
48594,128,4,9000,1,1,1,111,Lost Cheap User
48640,12,7,11705.88235,4,1,1,411,"Low Spenders, Less Active"
48710,0,0,45000,4,1,1,411,"Low Spenders, Less Active"
48750,0,0,23000,4,1,1,411,"Low Spenders, Less Active"
48764,1,20,35235.29412,4,2,1,421,"Low Spenders, Less Active"
48765,43,12,16692.30769,3,2,1,321,"Low Spenders, Less Active"
48789,10,12,35235.29412,4,2,1,421,"Low Spenders, Less Active"
48813,95,24,199000,1,3,3,133,Churn User
48847,89,4,66333.33333,2,1,1,211,"Low Spenders, Less Active"
48855,10,6,529.4117647,4,1,1,411,"Low Spenders, Less Active"
48864,3,4,22111.11111,4,1,1,411,"Low Spenders, Less Active"
48894,0,0,920000,4,1,4,414,Big Spenders
48897,120,14,99500,1,2,2,122,"Low Spenders, Less Active"
48906,79,8,1285.714286,2,1,1,211,"Low Spenders, Less Active"
48916,108,4,3000,1,1,1,111,Lost Cheap User
48941,10,5,35235.29412,4,1,1,411,"Low Spenders, Less Active"
48946,66,2,1000,2,1,1,211,"Low Spenders, Less Active"
48985,20,4,12437.5,3,1,1,311,"Low Spenders, Less Active"
48993,13,8,13562.5,4,1,1,411,"Low Spenders, Less Active"
49005,73,4,2250,2,1,1,211,"Low Spenders, Less Active"
49014,99,15,49750,1,2,1,121,"Low Spenders, Less Active"
49030,18,9,12437.5,4,2,1,421,"Low Spenders, Less Active"
49061,27,6,23000,3,1,1,311,"Low Spenders, Less Active"
49065,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
49073,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
49090,5,58,22111.11111,4,4,1,441,"Low Spenders, Most Active"
49116,8,5,23941.17647,4,1,1,411,"Low Spenders, Less Active"
49122,5,28,11055.55556,4,3,1,431,"Low Spenders, Most Active"
49126,1,3,51111.11111,4,1,1,411,"Low Spenders, Less Active"
49127,30,8,14214.28571,3,1,1,311,"Low Spenders, Less Active"
49143,34,12,79600,3,2,2,322,"Low Spenders, Less Active"
49171,62,19,15800,2,2,1,221,"Low Spenders, Less Active"
49185,17,11,37437.5,4,2,1,421,"Low Spenders, Less Active"
49188,79,8,28428.57143,2,1,1,211,"Low Spenders, Less Active"
49200,7,6,33277.77778,4,1,1,411,"Low Spenders, Less Active"
49204,35,1,3600,3,1,1,311,"Low Spenders, Less Active"
49210,120,102,72000,1,4,1,141,"Low Spenders, Most Active"
49212,40,3,15307.69231,3,1,1,311,"Low Spenders, Less Active"
49225,49,2,4500,3,1,1,311,"Low Spenders, Less Active"
49306,108,9,3000,1,2,1,121,"Low Spenders, Less Active"
49308,106,1,3000,1,1,1,111,Lost Cheap User
49357,16,10,26000,4,2,1,421,"Low Spenders, Less Active"
49370,21,2,42785.71429,3,1,1,311,"Low Spenders, Less Active"
49411,114,32,4500,1,3,1,131,Churn User
49436,12,1,529.4117647,4,1,1,411,"Low Spenders, Less Active"
49438,119,20,199000,1,2,3,123,"High Spenders, Less Active"
49511,37,6,54454.54545,3,1,1,311,"Low Spenders, Less Active"
49512,10,6,57500,4,1,1,411,"Low Spenders, Less Active"
49528,11,19,35764.70588,4,2,1,421,"Low Spenders, Less Active"
49533,92,4,39800,1,1,1,111,Lost Cheap User
49568,68,4,24875,2,1,1,211,"Low Spenders, Less Active"
49579,4,27,33277.77778,4,3,1,431,"Low Spenders, Most Active"
49602,74,5,58666.66667,2,1,1,211,"Low Spenders, Less Active"
49610,102,22,132666.6667,1,2,2,122,"Low Spenders, Less Active"
49618,13,7,29352.94118,4,1,1,411,"Low Spenders, Less Active"
49620,43,6,3750,3,1,1,311,"Low Spenders, Less Active"
49628,4,36,33277.77778,4,3,1,431,"Low Spenders, Most Active"
49644,20,2,1687.5,3,1,1,311,"Low Spenders, Less Active"
49647,14,7,16375,4,1,1,411,"Low Spenders, Less Active"
49667,0,0,9000,4,1,1,411,"Low Spenders, Less Active"
